GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
54821	1.26e-04	4.09e-07	0.4736	5.0648982	2.3986828	39.61	ERCC6L	ERCC excision repair 6 like, spindle assembly checkpoint helicase
3067	1.55e-04	5.34e-07	0.8069	-5.0136261	-4.0454539	153.2	HDC	histidine decarboxylase
3119	1.63e-04	5.71e-07	0.5809	-5.0008075	-2.9047626	1278.98	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1
8987	1.72e-04	6.13e-07	0.4896	4.9871876	2.4418304	217.78	STBD1	starch binding domain 1
11163	1.77e-04	6.39e-07	0.1417	4.9789989	0.7056959	1173.88	NUDT4	nudix hydrolase 4
28589	1.84e-04	6.75e-07	0.4348	-4.9685331	-2.1602399	87.16	TRBV7-9	T cell receptor beta variable 7-9
100527949	1.84e-04	6.86e-07	0.3163	-4.9653339	-1.5706326	1725.81	GIMAP1-GIMAP5	GIMAP1-GIMAP5 readthrough
8836	2.01e-04	7.61e-07	0.3797	4.9452339	1.8775645	237.18	GGH	gamma-glutamyl hydrolase
962	2.02e-04	7.76e-07	0.2393	-4.9411978	-1.1822581	11278.09	CD48	CD48 molecule
128239	2.17e-04	8.48e-07	0.7407	4.9240326	3.6473749	57.87	IQGAP3	IQ motif containing GTPase activating protein 3
23345	2.18e-04	8.63e-07	0.3025	4.9205832	1.4882545	4409.22	SYNE1	spectrin repeat containing nuclear envelope protein 1
7138	2.32e-04	9.33e-07	0.6544	-4.9053654	-3.2099489	256.88	TNNT1	troponin T1, slow skeletal type
100631383	2.33e-04	9.48e-07	0.5043	4.9022274	2.4723657	211.55	FAM47E-STBD1	FAM47E-STBD1 readthrough
55454	2.35e-04	9.70e-07	0.4277	4.8975473	2.094778	8219.71	CSGALNACT2	chondroitin sulfate N-acetylgalactosaminyltransferase 2
101927774	2.60e-04	1.09e-06	1.1296	-4.875079	-5.5068794	7.94	LINC00824	long intergenic non-protein coding RNA 824
160851	2.76e-04	1.17e-06	0.6299	4.8605212	3.0616678	1135.67	DGKH	diacylglycerol kinase eta
55765	2.82e-04	1.22e-06	0.5788	4.852931	2.8087321	17.19	INAVA	innate immunity activator
26190	2.82e-04	1.23e-06	0.2321	4.8510095	1.1261116	3313.95	FBXW2	F-box and WD repeat domain containing 2
105374406	2.88e-04	1.29e-06	0.5039	4.8411866	2.4394565	14.4	LOC105374406	uncharacterized LOC105374406
283383	2.88e-04	1.29e-06	0.5579	-4.8412718	-2.7007246	28.04	ADGRD1	adhesion G protein-coupled receptor D1
7124	3.26e-04	1.50e-06	0.4134	-4.8111468	-1.9889197	267.79	TNF	tumor necrosis factor
83461	3.26e-04	1.48e-06	0.4729	4.8137259	2.2764483	62.48	CDCA3	cell division cycle associated 3
29980	3.26e-04	1.51e-06	0.1895	4.8093213	0.9115932	181.46	DONSON	DNA replication fork stabilization factor DONSON
4747	3.59e-04	1.69e-06	0.782	-4.7874417	-3.7438984	25.33	NEFL	neurofilament light chain
401409	3.90e-04	1.86e-06	0.478	4.7685557	2.2792974	100.32	RAB19	RAB19, member RAS oncogene family
55686	3.94e-04	1.90e-06	0.2947	4.7637888	1.4040328	94.67	MREG	melanoregulin
400793	4.07e-04	1.98e-06	0.4528	4.7550732	2.1529675	74.15	C1orf226	chromosome 1 open reading frame 226
497189	4.17e-04	2.06e-06	1.1394	-4.7478737	-5.4098372	11.1	TIFAB	TIFA inhibitor
51177	4.31e-04	2.16e-06	0.3066	-4.7381028	-1.4528767	4779.76	PLEKHO1	pleckstrin homology domain containing O1
105379414	4.31e-04	2.18e-06	0.5907	-4.7362371	-2.7974854	20.75	LOC105379414	
28620	4.41e-04	2.25e-06	0.5116	-4.7295873	-2.4198218	47.07	TRBV2	T cell receptor beta variable 2
